run_id,case_id,source_id,model,sources,source_count,target,seed,fraction,fraction_percent,parameter_count,source_size,source_accuracy,target_train_size,target_val_size,target_test_size,zero_shot_test_accuracy,zero_shot_test_loss,adapted_test_accuracy,adapted_test_loss,accuracy_gain,best_epoch,best_train_accuracy,best_val_accuracy,epochs_completed,optimization_steps,adaptation_epochs,adaptation_learning_rate,adapted_checkpoint,history_csv,plot,zero_shot_val_accuracy,zero_shot_val_loss
cnn3_art_painting_seed42_to_cartoon_fraction5,cnn3_art_painting_seed42_to_cartoon,cnn3_art_painting_seed42,cnn3,art_painting,1,cartoon,42,0.05,5,94151,1433,0.5560975609756098,82,235,469,0.3518123667377398,2.341305909634653,0.5138592750533049,1.6779486650088702,0.162046908315565,93,0.7926829268292683,0.5191489361702127,100,300,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_cartoon_fraction5.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_cartoon_fraction5_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_cartoon_fraction5.png,0.3404255319148936,2.5732971921880194
cnn3_art_painting_seed42_to_cartoon_fraction10,cnn3_art_painting_seed42_to_cartoon,cnn3_art_painting_seed42,cnn3,art_painting,1,cartoon,42,0.1,10,94151,1433,0.5560975609756098,164,235,469,0.3518123667377398,2.341305909634653,0.5437100213219617,1.4438013349260603,0.1918976545842218,81,0.7378048780487805,0.5659574468085107,100,600,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_cartoon_fraction10.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_cartoon_fraction10_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_cartoon_fraction10.png,0.3404255319148936,2.5732971921880194
cnn3_art_painting_seed42_to_cartoon_fraction25,cnn3_art_painting_seed42_to_cartoon,cnn3_art_painting_seed42,cnn3,art_painting,1,cartoon,42,0.25,25,94151,1433,0.5560975609756098,410,235,469,0.3518123667377398,2.341305909634653,0.6162046908315565,1.2134353336749046,0.2643923240938166,89,0.7804878048780488,0.5829787234042553,100,1300,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_cartoon_fraction25.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_cartoon_fraction25_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_cartoon_fraction25.png,0.3404255319148936,2.5732971921880194
cnn3_art_painting_seed42_to_cartoon_fraction50,cnn3_art_painting_seed42_to_cartoon,cnn3_art_painting_seed42,cnn3,art_painting,1,cartoon,42,0.5,50,94151,1433,0.5560975609756098,821,235,469,0.3518123667377398,2.341305909634653,0.6396588486140725,1.091452665674661,0.2878464818763326,90,0.7929354445797807,0.625531914893617,100,2600,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_cartoon_fraction50.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_cartoon_fraction50_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_cartoon_fraction50.png,0.3404255319148936,2.5732971921880194
cnn3_art_painting_seed42_to_cartoon_fraction100,cnn3_art_painting_seed42_to_cartoon,cnn3_art_painting_seed42,cnn3,art_painting,1,cartoon,42,1.0,100,94151,1433,0.5560975609756098,1640,235,469,0.3518123667377398,2.341305909634653,0.6844349680170576,0.911767662715302,0.3326226012793177,89,0.7993902439024391,0.7063829787234043,100,5200,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_cartoon_fraction100.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_cartoon_fraction100_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_cartoon_fraction100.png,0.3404255319148936,2.5732971921880194
cnn3_art_painting_seed42_to_photo_fraction5,cnn3_art_painting_seed42_to_photo,cnn3_art_painting_seed42,cnn3,art_painting,1,photo,42,0.05,5,94151,1433,0.5560975609756098,58,167,334,0.4580838323353293,1.8148854421284384,0.5778443113772455,1.3560780679394384,0.1197604790419161,31,0.7758620689655172,0.5688622754491018,100,200,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_photo_fraction5.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_photo_fraction5_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_photo_fraction5.png,0.4910179640718562,1.8277780909738144
cnn3_art_painting_seed42_to_photo_fraction10,cnn3_art_painting_seed42_to_photo,cnn3_art_painting_seed42,cnn3,art_painting,1,photo,42,0.1,10,94151,1433,0.5560975609756098,117,167,334,0.4580838323353293,1.8148854421284384,0.5808383233532934,1.2790605921945173,0.1227544910179641,46,0.7692307692307693,0.5748502994011976,100,400,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_photo_fraction10.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_photo_fraction10_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_photo_fraction10.png,0.4910179640718562,1.8277780909738144
cnn3_art_painting_seed42_to_photo_fraction25,cnn3_art_painting_seed42_to_photo,cnn3_art_painting_seed42,cnn3,art_painting,1,photo,42,0.25,25,94151,1433,0.5560975609756098,292,167,334,0.4580838323353293,1.8148854421284384,0.6107784431137725,1.1031790522044291,0.1526946107784431,81,0.7842465753424658,0.6287425149700598,100,1000,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_photo_fraction25.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_photo_fraction25_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_photo_fraction25.png,0.4910179640718562,1.8277780909738144
cnn3_art_painting_seed42_to_photo_fraction50,cnn3_art_painting_seed42_to_photo,cnn3_art_painting_seed42,cnn3,art_painting,1,photo,42,0.5,50,94151,1433,0.5560975609756098,585,167,334,0.4580838323353293,1.8148854421284384,0.688622754491018,0.9281201676694218,0.2305389221556886,87,0.8205128205128205,0.688622754491018,100,1900,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_photo_fraction50.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_photo_fraction50_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_photo_fraction50.png,0.4910179640718562,1.8277780909738144
cnn3_art_painting_seed42_to_photo_fraction100,cnn3_art_painting_seed42_to_photo,cnn3_art_painting_seed42,cnn3,art_painting,1,photo,42,1.0,100,94151,1433,0.5560975609756098,1169,167,334,0.4580838323353293,1.8148854421284384,0.6976047904191617,0.8746181105425258,0.2395209580838323,44,0.787852865697177,0.7305389221556886,100,3700,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_photo_fraction100.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_photo_fraction100_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_photo_fraction100.png,0.4910179640718562,1.8277780909738144
cnn3_art_painting_seed42_to_sketch_fraction5,cnn3_art_painting_seed42_to_sketch,cnn3_art_painting_seed42,cnn3,art_painting,1,sketch,42,0.05,5,94151,1433,0.5560975609756098,138,393,786,0.2290076335877862,2.8246642542249374,0.4847328244274809,1.3350396775107347,0.2557251908396946,95,0.5507246376811594,0.5216284987277354,100,500,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_sketch_fraction5.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_sketch_fraction5_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_sketch_fraction5.png,0.2366412213740458,2.775936262601508
cnn3_art_painting_seed42_to_sketch_fraction10,cnn3_art_painting_seed42_to_sketch,cnn3_art_painting_seed42,cnn3,art_painting,1,sketch,42,0.1,10,94151,1433,0.5560975609756098,275,393,786,0.2290076335877862,2.8246642542249374,0.5368956743002544,1.2511161653746783,0.3078880407124681,89,0.6290909090909091,0.5725190839694656,100,900,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_sketch_fraction10.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_sketch_fraction10_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_sketch_fraction10.png,0.2366412213740458,2.775936262601508
cnn3_art_painting_seed42_to_sketch_fraction25,cnn3_art_painting_seed42_to_sketch,cnn3_art_painting_seed42,cnn3,art_painting,1,sketch,42,0.25,25,94151,1433,0.5560975609756098,688,393,786,0.2290076335877862,2.8246642542249374,0.5572519083969466,1.198224693764257,0.3282442748091603,55,0.6308139534883721,0.5699745547073791,100,2200,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_sketch_fraction25.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_sketch_fraction25_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_sketch_fraction25.png,0.2366412213740458,2.775936262601508
cnn3_art_painting_seed42_to_sketch_fraction50,cnn3_art_painting_seed42_to_sketch,cnn3_art_painting_seed42,cnn3,art_painting,1,sketch,42,0.5,50,94151,1433,0.5560975609756098,1375,393,786,0.2290076335877862,2.8246642542249374,0.594147582697201,1.0560727374244283,0.3651399491094148,80,0.6589090909090909,0.5674300254452926,100,4300,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_sketch_fraction50.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_sketch_fraction50_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_sketch_fraction50.png,0.2366412213740458,2.775936262601508
cnn3_art_painting_seed42_to_sketch_fraction100,cnn3_art_painting_seed42_to_sketch,cnn3_art_painting_seed42,cnn3,art_painting,1,sketch,42,1.0,100,94151,1433,0.5560975609756098,2750,393,786,0.2290076335877862,2.8246642542249374,0.6348600508905853,0.9408145157132136,0.405852417302799,87,0.692,0.6259541984732825,100,8600,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed42_to_sketch_fraction100.pth,outputs\adaptation_histories\cnn3_art_painting_seed42_to_sketch_fraction100_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed42_to_sketch_fraction100.png,0.2366412213740458,2.775936262601508
cnn3_art_painting_seed387_to_cartoon_fraction5,cnn3_art_painting_seed387_to_cartoon,cnn3_art_painting_seed387,cnn3,art_painting,1,cartoon,387,0.05,5,94151,1433,0.5463414634146342,82,235,469,0.3432835820895522,2.426387380181091,0.5245202558635395,1.5976226334887018,0.1812366737739872,82,0.7560975609756098,0.5531914893617021,100,300,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed387_to_cartoon_fraction5.pth,outputs\adaptation_histories\cnn3_art_painting_seed387_to_cartoon_fraction5_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed387_to_cartoon_fraction5.png,0.3531914893617021,2.5667391026273685
cnn3_art_painting_seed387_to_cartoon_fraction10,cnn3_art_painting_seed387_to_cartoon,cnn3_art_painting_seed387,cnn3,art_painting,1,cartoon,387,0.1,10,94151,1433,0.5463414634146342,164,235,469,0.3432835820895522,2.426387380181091,0.5479744136460555,1.475195768799609,0.2046908315565032,96,0.7317073170731707,0.5957446808510638,100,600,100,0.0001,outputs\adapted_models\cnn3_art_painting_seed387_to_cartoon_fraction10.pth,outputs\adaptation_histories\cnn3_art_painting_seed387_to_cartoon_fraction10_history.csv,outputs\adaptation_plots\cnn3_art_painting_seed387_to_cartoon_fraction10.png,0.3531914893617021,2.5667391026273685
