fold,held_out_target,prediction_model,selected_alpha,mae_0,mae_5,mae_10,mae_25,mae_50,mae_100,overall_mae
1,art_painting,metadata_ridge,0.001,0.03284146440737822,0.20445615604979148,0.1925893820029966,0.18971760951157188,0.17443979903813048,0.14001837141732046,0.15567713040453152
1,art_painting,metadata_distance_ridge,1.0,0.04264369698380457,0.21156583601058698,0.19942095272046587,0.19620482575167877,0.18068226648449545,0.1460286644524615,0.16275770706724887
1,art_painting,mean_curve,,0.09172288569202658,0.24668578991567944,0.23260680366642283,0.22714065373283573,0.21010748184019337,0.17408275980376509,0.19705772910848718
1,art_painting,distance_ridge,0.1,0.1667246760228738,0.27259563291131883,0.25357873132155295,0.2422772600449211,0.221294370665697,0.18168530292731686,0.22302599564894676
2,cartoon,distance_ridge,0.001,0.052543044727633915,0.05902186683917795,0.05551272916172217,0.05525069121316269,0.07486501528472544,0.0964577357984248,0.0656085138374745
2,cartoon,mean_curve,,0.0806692417120997,0.04755385177656674,0.04808871123752887,0.06564770012802473,0.08253438726947032,0.10100530180850736,0.07091653232203296
2,cartoon,metadata_ridge,1.0,0.030685918127201173,0.044820503872481286,0.04482409356706172,0.0803401412468696,0.10430155453915974,0.12801498820743484,0.07216453326003473
2,cartoon,metadata_distance_ridge,1.0,0.03719605043014822,0.04966150670811716,0.05593832611244521,0.0982995025113182,0.12780828556017657,0.152422782605481,0.08688774232128106
3,photo,metadata_ridge,0.1,0.025852493637174918,0.04677014949636634,0.04388442007856547,0.07159222901450397,0.11254986567593088,0.1375486210454656,0.0730329631580012
3,photo,metadata_distance_ridge,0.1,0.029568544329932712,0.04984143472444288,0.06570980533489107,0.11431835079837183,0.16114081475527428,0.19107910920746848,0.10194300985839688
3,photo,mean_curve,,0.19360639820630013,0.09051486819317105,0.08186152999829531,0.09917187668175971,0.1126020573733326,0.1196469679250453,0.11623394972965068
3,photo,distance_ridge,0.1,0.1635386686393079,0.09423916571821796,0.10231111160798999,0.13592396400206666,0.16329139533452686,0.18114911339746098,0.14007556978326172
4,sketch,metadata_ridge,0.1,0.06820077913640905,0.04369689226202395,0.0406198246050695,0.05575118405225921,0.06373913024424496,0.07215168014236949,0.05735991507372936
4,sketch,distance_ridge,0.001,0.05291716051977332,0.030138810095329722,0.04548034782403185,0.0665045870897161,0.08733230940471585,0.10530148677336043,0.06461245028448788
4,sketch,metadata_distance_ridge,1.0,0.0940673561114443,0.11070878909288857,0.09488623335130424,0.08252545430252774,0.07344907576550153,0.07875303512975866,0.08906499062557083
4,sketch,mean_curve,,0.10063177593018079,0.07061068702290078,0.08359838846480068,0.10718829516539441,0.11526601991596747,0.12515940251138277,0.10040909483510448
