case_id,source_id,model,sources,source_count,target,seed,parameter_count,source_size,source_accuracy,zero_shot_val_accuracy,zero_shot_val_loss,zero_shot_test_accuracy,zero_shot_test_loss,n_5,n_10,n_25,n_50,n_100,accuracy_5,accuracy_10,accuracy_25,accuracy_50,accuracy_100,n_0,accuracy_0,curve_a0,curve_a,curve_c,curve_fit_mae,curve_fit_rmse,curve_fit_max_error
cnn3_art_painting_seed42_to_cartoon,cnn3_art_painting_seed42,cnn3,art_painting,1,cartoon,42,94151,1433,0.5560975609756098,0.3404255319148936,2.5732971921880194,0.3518123667377398,2.341305909634653,82,164,410,821,1640,0.5138592750533049,0.5437100213219617,0.6162046908315565,0.6396588486140725,0.6844349680170576,0,0.3518123667377398,0.3518123667377398,0.9999999999999999,0.08293664968539752,0.02079559764174412,0.025272399533268812,0.036838226669314134
cnn3_art_painting_seed42_to_photo,cnn3_art_painting_seed42,cnn3,art_painting,1,photo,42,94151,1433,0.5560975609756098,0.4910179640718562,1.8277780909738144,0.4580838323353293,1.8148854421284384,58,117,292,585,1169,0.5778443113772455,0.5808383233532934,0.6107784431137725,0.688622754491018,0.6976047904191617,0,0.4580838323353293,0.4580838323353293,0.9999999999999999,0.0704769098739613,0.02251492017986371,0.025367739850344746,0.03445002522084595
cnn3_art_painting_seed42_to_sketch,cnn3_art_painting_seed42,cnn3,art_painting,1,sketch,42,94151,1433,0.5560975609756098,0.2366412213740458,2.775936262601508,0.2290076335877862,2.8246642542249374,138,275,688,1375,2750,0.4847328244274809,0.5368956743002544,0.5572519083969466,0.594147582697201,0.6348600508905853,0,0.2290076335877862,0.2290076335877862,0.99999999999958,0.08847481143599495,0.008584339640807884,0.011067338132044992,0.017457259123252244
cnn3_art_painting_seed387_to_cartoon,cnn3_art_painting_seed387,cnn3,art_painting,1,cartoon,387,94151,1433,0.5463414634146342,0.3531914893617021,2.5667391026273685,0.3432835820895522,2.426387380181091,82,164,410,821,1640,0.5245202558635395,0.5479744136460555,0.5884861407249466,0.6311300639658849,0.673773987206823,0,0.3432835820895522,0.3432835820895522,0.9999999999798245,0.08207855029747417,0.01510074179410198,0.018020649541921275,0.03144720547557023
cnn3_art_painting_seed387_to_photo,cnn3_art_painting_seed387,cnn3,art_painting,1,photo,387,94151,1433,0.5463414634146342,0.4790419161676646,2.1724891605491408,0.4431137724550898,2.1316850285330218,58,117,292,585,1169,0.4820359281437126,0.5508982035928144,0.6227544910179641,0.6437125748502994,0.6946107784431138,0,0.4431137724550898,0.4431137724550898,0.9999999999999999,0.061772602719143456,0.034699049379733386,0.04470242273445777,0.08507528179695428
cnn3_art_painting_seed387_to_sketch,cnn3_art_painting_seed387,cnn3,art_painting,1,sketch,387,94151,1433,0.5463414634146342,0.2875318066157761,2.334374794219893,0.2557251908396946,2.2914224192689696,138,275,688,1375,2750,0.4821882951653944,0.5,0.544529262086514,0.583969465648855,0.6106870229007634,0,0.2557251908396946,0.2557251908396946,0.9999999999999999,0.07691423382117989,0.009515457822674045,0.0111437868397994,0.016949352970158982
cnn3_cartoon_seed42_to_art_painting,cnn3_cartoon_seed42,cnn3,cartoon,1,art_painting,42,94151,1640,0.7404255319148936,0.3024390243902439,4.209174142232755,0.2634146341463415,4.163615882687452,71,143,358,716,1433,0.3097560975609756,0.3560975609756097,0.4048780487804878,0.4073170731707317,0.4682926829268293,0,0.2634146341463415,0.2634146341463415,0.9999999999998976,0.03373627119792953,0.021639372207687125,0.02970595678369745,0.052621432274023716
cnn3_cartoon_seed42_to_photo,cnn3_cartoon_seed42,cnn3,cartoon,1,photo,42,94151,1640,0.7404255319148936,0.3592814371257485,3.64088541590525,0.311377245508982,4.080771280619913,58,117,292,585,1169,0.4880239520958084,0.5059880239520959,0.5688622754491018,0.6227544910179641,0.6407185628742516,0,0.311377245508982,0.311377245508982,0.9999999999999999,0.0838638320777813,0.017747622250801825,0.02135763047685212,0.03245490954781571
cnn3_cartoon_seed42_to_sketch,cnn3_cartoon_seed42,cnn3,cartoon,1,sketch,42,94151,1640,0.7404255319148936,0.2519083969465648,2.258599834587738,0.232824427480916,2.3414940918978235,138,275,688,1375,2750,0.5203562340966921,0.5699745547073791,0.5687022900763359,0.6450381679389313,0.6628498727735369,0,0.232824427480916,0.232824427480916,0.9999999999270944,0.09949777603738702,0.013345988916167728,0.016436080658149107,0.03089384060253375
cnn3_cartoon_seed387_to_art_painting,cnn3_cartoon_seed387,cnn3,cartoon,1,art_painting,387,94151,1640,0.7446808510638298,0.2975609756097561,3.565320754632717,0.2829268292682926,3.5878745474466465,71,143,358,716,1433,0.3439024390243902,0.375609756097561,0.4048780487804878,0.4195121951219512,0.4682926829268293,0,0.2829268292682926,0.2829268292682926,0.9999999999999969,0.03246575951635114,0.014127942011532993,0.020135403376626757,0.03464112221538734
