parameter,feature,mean_coefficient,mean_abs_coefficient,sign_consistency
curve_a,source_accuracy,-0.21380635681716614,0.21380635681716614,1.0
curve_a,zero_shot_val_loss,-0.06449025248392462,0.17685957991725276,0.5
curve_a,n_5,-0.15223966358537547,0.15223966358537544,1.0
curve_a,source_size,0.0999873244533004,0.09998732445330041,1.0
curve_a,zero_shot_val_accuracy,-0.06504862187368958,0.08210323119986088,0.5
curve_a0,zero_shot_val_accuracy,0.9442405568571062,0.9442405568571061,1.0
curve_a0,source_size,0.0766649091856857,0.07666490918568569,1.0
curve_a0,source_accuracy,-0.06209816352580565,0.06209816352580564,1.0
curve_a0,zero_shot_val_loss,0.02852247622718418,0.0474543984888728,0.5
curve_a0,n_5,0.008140206298447656,0.04040014392801454,0.5
curve_c,n_5,0.4668148198754707,0.4668148198754707,1.0
curve_c,zero_shot_val_accuracy,-0.0892586424949767,0.22671778410150786,0.5
curve_c,source_accuracy,-0.16544730293537682,0.18688274362888707,0.5
curve_c,zero_shot_val_loss,0.12784652082209252,0.140790534750025,0.5
curve_c,source_size,-0.0011190889009405386,0.010716500964819313,0.0
