feature_1,feature_2,correlation,absolute_correlation
n_5,n_10,0.9999909881480709,0.9999909881480709
n_5,optimization_steps_10,0.9943285357602681,0.9943285357602681
n_10,optimization_steps_10,0.9940288687551632,0.9940288687551632
n_10,optimization_steps_5,0.9837359136720422,0.9837359136720422
n_5,optimization_steps_5,0.9832477393700652,0.9832477393700652
optimization_steps_5,optimization_steps_10,0.9810229431759453,0.9810229431759453
best_val_accuracy_5,best_val_accuracy_10,0.9707363133821284,0.9707363133821284
best_train_accuracy_5,best_train_accuracy_10,0.8195893959665455,0.8195893959665455
best_train_accuracy_5,best_val_accuracy_10,0.6320023735274706,0.6320023735274706
best_train_accuracy_5,best_val_accuracy_5,0.6010526816120227,0.6010526816120227
zero_shot_val_accuracy,best_val_accuracy_5,0.5985589018283818,0.5985589018283818
best_train_accuracy_10,best_val_accuracy_10,0.5657477134680388,0.5657477134680388
zero_shot_val_accuracy,best_val_accuracy_10,0.5401672291884072,0.5401672291884072
zero_shot_val_accuracy,zero_shot_val_loss,-0.5339392612475753,0.5339392612475753
source_accuracy,best_train_accuracy_10,0.5167710972237933,0.5167710972237933
best_val_accuracy_5,best_train_accuracy_10,0.5040994215036795,0.5040994215036795
zero_shot_val_loss,best_val_accuracy_5,-0.4938683446458538,0.4938683446458538
zero_shot_val_accuracy,best_epoch_10,-0.4803696614957919,0.4803696614957919
zero_shot_val_accuracy,best_epoch_5,-0.46033683259265523,0.46033683259265523
best_epoch_5,optimization_steps_10,0.45835528759093097,0.45835528759093097
best_epoch_5,optimization_steps_5,0.44035737158093463,0.44035737158093463
n_5,best_epoch_5,0.4355851434256657,0.4355851434256657
n_10,best_epoch_5,0.4350155405152055,0.4350155405152055
zero_shot_val_accuracy,best_train_accuracy_10,0.42847676788380734,0.42847676788380734
zero_shot_val_loss,best_val_accuracy_10,-0.40192475573505365,0.40192475573505365
zero_shot_val_accuracy,optimization_steps_5,-0.3910119085001323,0.3910119085001323
zero_shot_val_accuracy,best_train_accuracy_5,0.38300413982053994,0.38300413982053994
n_5,best_val_accuracy_10,0.3758494324420688,0.3758494324420688
n_10,best_val_accuracy_10,0.3737129733272637,0.3737129733272637
best_val_accuracy_10,optimization_steps_10,0.3730350430102353,0.3730350430102353
n_5,best_val_accuracy_5,0.3656571485836913,0.3656571485836913
n_10,best_val_accuracy_5,0.36354765292517816,0.36354765292517816
optimization_steps_5,best_epoch_10,0.3615615549730253,0.3615615549730253
best_epoch_5,best_epoch_10,0.3607417647055114,0.3607417647055114
best_val_accuracy_5,optimization_steps_10,0.3591875208191239,0.3591875208191239
source_accuracy,best_train_accuracy_5,0.3581133295001218,0.3581133295001218
best_epoch_10,optimization_steps_10,0.356703920306156,0.356703920306156
zero_shot_val_accuracy,optimization_steps_10,-0.34232395567227347,0.34232395567227347
n_5,best_epoch_10,0.32620801522314935,0.32620801522314935
n_10,best_epoch_10,0.32593886012759693,0.32593886012759693
zero_shot_val_accuracy,n_10,-0.3252842743771987,0.3252842743771987
n_5,zero_shot_val_accuracy,-0.3245949780966521,0.3245949780966521
source_size,n_10,-0.27634280724602317,0.27634280724602317
source_size,n_5,-0.2763384183575565,0.2763384183575565
source_size,optimization_steps_10,-0.274702413616602,0.274702413616602
source_size,optimization_steps_5,-0.27197127173817265,0.27197127173817265
source_size,source_accuracy,0.25766055924012715,0.25766055924012715
optimization_steps_5,best_val_accuracy_10,0.2504918109153932,0.2504918109153932
zero_shot_val_loss,best_epoch_10,0.24050870332891594,0.24050870332891594
zero_shot_val_loss,best_train_accuracy_5,-0.24033384815236913,0.24033384815236913
best_val_accuracy_5,optimization_steps_5,0.23558087519831075,0.23558087519831075
source_accuracy,best_epoch_10,0.2185940359346231,0.2185940359346231
zero_shot_val_loss,best_train_accuracy_10,-0.21342391085193088,0.21342391085193088
source_size,zero_shot_val_accuracy,0.2111915380637394,0.2111915380637394
best_epoch_10,best_train_accuracy_10,0.20636107190846428,0.20636107190846428
source_accuracy,zero_shot_val_loss,0.2011038658106919,0.2011038658106919
best_epoch_5,best_train_accuracy_5,0.19533969911885338,0.19533969911885338
n_5,zero_shot_val_loss,-0.19124485722498036,0.19124485722498036
zero_shot_val_loss,n_10,-0.19085844395620574,0.19085844395620574
zero_shot_val_loss,optimization_steps_10,-0.1900543768012649,0.1900543768012649
best_epoch_5,best_train_accuracy_10,-0.18866489284230095,0.18866489284230095
source_accuracy,optimization_steps_10,-0.1726150793233212,0.1726150793233212
n_5,source_accuracy,-0.1675163723703768,0.1675163723703768
zero_shot_val_loss,optimization_steps_5,-0.16659860110059438,0.16659860110059438
source_accuracy,n_10,-0.16658232603752465,0.16658232603752465
best_val_accuracy_5,best_epoch_10,-0.16616668677707971,0.16616668677707971
source_accuracy,best_epoch_5,-0.1547137153450943,0.1547137153450943
zero_shot_val_loss,best_epoch_5,0.13408316894391353,0.13408316894391353
best_train_accuracy_5,optimization_steps_10,0.13275064295151304,0.13275064295151304
source_accuracy,optimization_steps_5,-0.12355578420585392,0.12355578420585392
source_size,best_epoch_5,-0.11861170641070799,0.11861170641070799
source_accuracy,best_val_accuracy_5,-0.11787284970193626,0.11787284970193626
n_5,best_train_accuracy_5,0.11427901920837821,0.11427901920837821
n_10,best_train_accuracy_5,0.11295777207276764,0.11295777207276764
best_epoch_10,best_val_accuracy_10,-0.07944051579156114,0.07944051579156114
best_train_accuracy_5,best_epoch_10,0.07865120829416057,0.07865120829416057
best_train_accuracy_5,optimization_steps_5,0.072224356332325,0.072224356332325
source_accuracy,best_val_accuracy_10,-0.05665941913809545,0.05665941913809545
best_epoch_5,best_val_accuracy_10,-0.04145278076085041,0.04145278076085041
source_size,best_train_accuracy_10,0.03602412520024906,0.03602412520024906
source_size,best_epoch_10,0.025806146481628586,0.025806146481628586
source_accuracy,zero_shot_val_accuracy,-0.024295068480195827,0.024295068480195827
source_size,best_val_accuracy_10,-0.023860920418161725,0.023860920418161725
best_epoch_5,best_val_accuracy_5,-0.02183826311310239,0.02183826311310239
optimization_steps_5,best_train_accuracy_10,-0.017370758430290303,0.017370758430290303
best_train_accuracy_10,optimization_steps_10,0.013694453233243089,0.013694453233243089
source_size,best_val_accuracy_5,-0.008499509347779696,0.008499509347779696
n_5,best_train_accuracy_10,0.007528495804067501,0.007528495804067501
n_10,best_train_accuracy_10,0.00688732377667891,0.00688732377667891
source_size,zero_shot_val_loss,0.0019989513623471494,0.0019989513623471494
source_size,best_train_accuracy_5,-0.001987979242270795,0.001987979242270795
