held_out_target,selected_alpha,parameter,feature,standardized_coefficient
art_painting,1.0,curve_a0,source_size,0.06900863764818548
art_painting,1.0,curve_a0,n_5,-0.12842998675137804
art_painting,1.0,curve_a0,source_accuracy,-0.04049671478556315
art_painting,1.0,curve_a0,zero_shot_val_accuracy,0.8190200919471662
art_painting,1.0,curve_a0,zero_shot_val_loss,-0.052436617325822735
art_painting,1.0,curve_a0,n_10,-0.13548694048140494
art_painting,1.0,curve_a0,best_epoch_5,0.038213443111001055
art_painting,1.0,curve_a0,best_train_accuracy_5,-0.04421903013006817
art_painting,1.0,curve_a0,best_val_accuracy_5,0.05318851663748231
art_painting,1.0,curve_a0,optimization_steps_5,-0.03463215825329405
art_painting,1.0,curve_a0,best_epoch_10,0.019739028103636404
art_painting,1.0,curve_a0,best_train_accuracy_10,-0.06744209424936938
art_painting,1.0,curve_a0,best_val_accuracy_10,0.051591224324067486
art_painting,1.0,curve_a0,optimization_steps_10,0.15677589904990014
art_painting,1.0,curve_a,source_size,0.18644089264564273
art_painting,1.0,curve_a,n_5,0.025571401591412773
art_painting,1.0,curve_a,source_accuracy,-0.2705328663344336
art_painting,1.0,curve_a,zero_shot_val_accuracy,0.25334098436689567
art_painting,1.0,curve_a,zero_shot_val_loss,0.07378093305277321
art_painting,1.0,curve_a,n_10,0.023526512273837192
art_painting,1.0,curve_a,best_epoch_5,-0.03175121248484577
art_painting,1.0,curve_a,best_train_accuracy_5,0.2101935409597058
art_painting,1.0,curve_a,best_val_accuracy_5,-0.6488342136920195
art_painting,1.0,curve_a,optimization_steps_5,0.052705345321560036
art_painting,1.0,curve_a,best_epoch_10,-0.16257018462145784
art_painting,1.0,curve_a,best_train_accuracy_10,0.2640616572748166
art_painting,1.0,curve_a,best_val_accuracy_10,0.09746753137526176
art_painting,1.0,curve_a,optimization_steps_10,0.10781222497755691
art_painting,1.0,curve_c,source_size,-0.02304171609656803
art_painting,1.0,curve_c,n_5,0.21132889359424584
art_painting,1.0,curve_c,source_accuracy,0.011015953647503445
art_painting,1.0,curve_c,zero_shot_val_accuracy,-0.7076186622670458
art_painting,1.0,curve_c,zero_shot_val_loss,0.2559019664813785
art_painting,1.0,curve_c,n_10,0.22262531006325487
art_painting,1.0,curve_c,best_epoch_5,0.007669632515938073
art_painting,1.0,curve_c,best_train_accuracy_5,0.044235986853863124
