parameter,feature,mean_coefficient,mean_abs_coefficient,sign_consistency
curve_a,best_val_accuracy_5,-0.201787644966672,0.5703295998250762,0.5
curve_a,best_val_accuracy_10,-0.26909278777960105,0.4606550405789324,0.5
curve_a,optimization_steps_5,-0.3994142490259339,0.4275905606216124,0.0
curve_a,best_train_accuracy_5,0.2569025110787654,0.2569025110787654,1.0
curve_a,source_accuracy,-0.22839948656095552,0.22839948656095552,1.0
curve_a,optimization_steps_10,0.2255792610639491,0.22717499652058462,0.5
curve_a,best_train_accuracy_10,0.05385267629900142,0.2197588450351155,0.5
curve_a,zero_shot_val_loss,-0.05823916359478197,0.1971144614699829,0.5
curve_a,zero_shot_val_accuracy,0.04707528407109089,0.18701318652233279,0.5
curve_a,source_size,0.1328091242455091,0.1328091242455091,1.0
curve_a,best_epoch_5,-0.1254601861436525,0.1254601861436525,1.0
curve_a,n_5,0.10337140197375036,0.1058741113057383,0.5
curve_a,best_epoch_10,-0.05749792915756899,0.10561988402715622,0.5
curve_a,n_10,0.08786343760623344,0.09031714429451883,0.5
curve_a0,zero_shot_val_accuracy,0.7835871983341249,0.7835871983341249,1.0
curve_a0,best_val_accuracy_10,0.13721453479974938,0.13721453479974938,1.0
curve_a0,optimization_steps_5,-0.13216679901452902,0.13216679901452902,1.0
curve_a0,optimization_steps_10,0.08081704008776816,0.11150653716045131,0.5
curve_a0,best_train_accuracy_5,-0.08500251299600521,0.0850025129960052,1.0
curve_a0,best_val_accuracy_5,0.05134573354207875,0.08489809503797019,0.5
curve_a0,source_size,0.06855409306010886,0.06855409306010886,1.0
curve_a0,n_10,-0.042592262938155476,0.0645251380654512,0.5
curve_a0,n_5,-0.03711658944051592,0.061643267479300816,0.5
curve_a0,zero_shot_val_loss,-0.031899159726070235,0.04894174080243149,0.5
curve_a0,source_accuracy,-0.03318767637920083,0.04247640431112156,0.5
curve_a0,best_epoch_5,0.033085969309190506,0.040799635510568893,0.5
curve_a0,best_train_accuracy_10,-0.01684898688367736,0.030788445435360013,0.5
curve_a0,best_epoch_10,0.0009539854500525882,0.020961094408926205,0.5
curve_c,zero_shot_val_accuracy,-0.560522372253133,0.560522372253133,1.0
curve_c,optimization_steps_5,-0.3077824221431896,0.33837135154887465,0.5
curve_c,best_val_accuracy_5,0.31975218596366595,0.319752185963666,1.0
curve_c,best_val_accuracy_10,0.31965725353724034,0.31965725353724034,1.0
curve_c,best_train_accuracy_10,0.12318826783481249,0.21655246311970913,0.0
curve_c,optimization_steps_10,0.08686997456748305,0.209495585451895,0.5
curve_c,n_5,0.1549264107277848,0.1549264107277848,1.0
curve_c,zero_shot_val_loss,0.10134576287289113,0.1526286760209171,0.5
curve_c,n_10,0.14624299639553162,0.14624299639553162,1.0
curve_c,best_train_accuracy_5,0.11546490102611372,0.11546490102611372,1.0
curve_c,best_epoch_10,-0.013873953279687656,0.05974668700756745,0.0
curve_c,source_size,-0.05456730552329823,0.05456730552329823,1.0
curve_c,source_accuracy,0.012999735271451953,0.03794507750182566,0.5
curve_c,best_epoch_5,-0.021637230753272268,0.025472047011241304,0.5
