source_id,model,sources,source_count,seed,parameter_count,source_size,source_val_size,source_accuracy,source_loss,max_epochs,epochs_completed,best_epoch,best_train_accuracy,best_val_accuracy,optimization_steps,learning_rate,batch_size,checkpoint,history_csv,plot
cnn3_art_painting_seed42,cnn3,art_painting,1,42,94151,1433,205,0.5560975609756098,1.4115354584484563,100,100,89,0.6685275645498954,0.5560975609756098,4500,0.001,32,outputs\source_models\cnn3_art_painting_seed42.pth,outputs\source_histories\cnn3_art_painting_seed42_history.csv,outputs\source_plots\cnn3_art_painting_seed42.png
cnn3_art_painting_seed387,cnn3,art_painting,1,387,94151,1433,205,0.5463414634146342,1.3866341660662396,100,100,85,0.6796929518492673,0.5463414634146342,4500,0.001,32,outputs\source_models\cnn3_art_painting_seed387.pth,outputs\source_histories\cnn3_art_painting_seed387_history.csv,outputs\source_plots\cnn3_art_painting_seed387.png
cnn3_cartoon_seed42,cnn3,cartoon,1,42,94151,1640,235,0.7404255319148936,0.9961985588073732,100,100,99,0.8621951219512195,0.7404255319148936,5200,0.001,32,outputs\source_models\cnn3_cartoon_seed42.pth,outputs\source_histories\cnn3_cartoon_seed42_history.csv,outputs\source_plots\cnn3_cartoon_seed42.png
cnn3_cartoon_seed387,cnn3,cartoon,1,387,94151,1640,235,0.7446808510638298,1.0297845637544674,100,100,99,0.8682926829268293,0.7446808510638298,5200,0.001,32,outputs\source_models\cnn3_cartoon_seed387.pth,outputs\source_histories\cnn3_cartoon_seed387_history.csv,outputs\source_plots\cnn3_cartoon_seed387.png
cnn3_photo_seed42,cnn3,photo,1,42,94151,1169,167,0.688622754491018,1.5072018000893963,100,100,89,0.8280581693755347,0.688622754491018,3700,0.001,32,outputs\source_models\cnn3_photo_seed42.pth,outputs\source_histories\cnn3_photo_seed42_history.csv,outputs\source_plots\cnn3_photo_seed42.png
cnn3_photo_seed387,cnn3,photo,1,387,94151,1169,167,0.7305389221556886,1.3476431840908027,100,100,92,0.8280581693755347,0.7305389221556886,3700,0.001,32,outputs\source_models\cnn3_photo_seed387.pth,outputs\source_histories\cnn3_photo_seed387_history.csv,outputs\source_plots\cnn3_photo_seed387.png
cnn3_sketch_seed42,cnn3,sketch,1,42,94151,2750,393,0.72264631043257,0.7528796377982802,100,100,97,0.7912727272727272,0.72264631043257,8600,0.001,32,outputs\source_models\cnn3_sketch_seed42.pth,outputs\source_histories\cnn3_sketch_seed42_history.csv,outputs\source_plots\cnn3_sketch_seed42.png
cnn3_sketch_seed387,cnn3,sketch,1,387,94151,2750,393,0.727735368956743,0.7506881209123529,100,100,89,0.7530909090909091,0.727735368956743,8600,0.001,32,outputs\source_models\cnn3_sketch_seed387.pth,outputs\source_histories\cnn3_sketch_seed387_history.csv,outputs\source_plots\cnn3_sketch_seed387.png
cnn3_art_painting-cartoon_seed42,cnn3,art_painting|cartoon,2,42,94151,3073,440,0.6636363636363637,1.085171272537925,100,100,98,0.7783924503742271,0.6636363636363637,9700,0.001,32,outputs\source_models\cnn3_art_painting-cartoon_seed42.pth,outputs\source_histories\cnn3_art_painting-cartoon_seed42_history.csv,outputs\source_plots\cnn3_art_painting-cartoon_seed42.png
cnn3_art_painting-cartoon_seed387,cnn3,art_painting|cartoon,2,387,94151,3073,440,0.65,1.1893352855335582,100,100,89,0.7471526195899773,0.65,9700,0.001,32,outputs\source_models\cnn3_art_painting-cartoon_seed387.pth,outputs\source_histories\cnn3_art_painting-cartoon_seed387_history.csv,outputs\source_plots\cnn3_art_painting-cartoon_seed387.png
cnn3_art_painting-photo_seed42,cnn3,art_painting|photo,2,42,94151,2602,372,0.6102150537634409,1.1783847552473827,100,100,90,0.7229054573405073,0.6102150537634409,8200,0.001,32,outputs\source_models\cnn3_art_painting-photo_seed42.pth,outputs\source_histories\cnn3_art_painting-photo_seed42_history.csv,outputs\source_plots\cnn3_art_painting-photo_seed42.png
cnn3_art_painting-photo_seed387,cnn3,art_painting|photo,2,387,94151,2602,372,0.6290322580645161,1.1490163187826834,100,100,84,0.7205995388162951,0.6290322580645161,8200,0.001,32,outputs\source_models\cnn3_art_painting-photo_seed387.pth,outputs\source_histories\cnn3_art_painting-photo_seed387_history.csv,outputs\source_plots\cnn3_art_painting-photo_seed387.png
cnn3_art_painting-sketch_seed42,cnn3,art_painting|sketch,2,42,94151,4183,598,0.6872909698996655,0.9584643194906688,100,100,93,0.7523308630169735,0.6872909698996655,13100,0.001,32,outputs\source_models\cnn3_art_painting-sketch_seed42.pth,outputs\source_histories\cnn3_art_painting-sketch_seed42_history.csv,outputs\source_plots\cnn3_art_painting-sketch_seed42.png
cnn3_art_painting-sketch_seed387,cnn3,art_painting|sketch,2,387,94151,4183,598,0.6488294314381271,1.0363411696060845,100,100,88,0.7511355486492948,0.6488294314381271,13100,0.001,32,outputs\source_models\cnn3_art_painting-sketch_seed387.pth,outputs\source_histories\cnn3_art_painting-sketch_seed387_history.csv,outputs\source_plots\cnn3_art_painting-sketch_seed387.png
cnn3_cartoon-photo_seed42,cnn3,cartoon|photo,2,42,94151,2809,402,0.7238805970149254,0.9858514278089228,100,100,93,0.8387326450694197,0.7238805970149254,8800,0.001,32,outputs\source_models\cnn3_cartoon-photo_seed42.pth,outputs\source_histories\cnn3_cartoon-photo_seed42_history.csv,outputs\source_plots\cnn3_cartoon-photo_seed42.png
cnn3_cartoon-photo_seed387,cnn3,cartoon|photo,2,387,94151,2809,402,0.7263681592039801,0.998465784746616,100,100,70,0.8141687433250266,0.7263681592039801,8800,0.001,32,outputs\source_models\cnn3_cartoon-photo_seed387.pth,outputs\source_histories\cnn3_cartoon-photo_seed387_history.csv,outputs\source_plots\cnn3_cartoon-photo_seed387.png
cnn3_cartoon-sketch_seed42,cnn3,cartoon|sketch,2,42,94151,4390,628,0.732484076433121,0.8649871015244988,100,100,98,0.8177676537585421,0.732484076433121,13800,0.001,32,outputs\source_models\cnn3_cartoon-sketch_seed42.pth,outputs\source_histories\cnn3_cartoon-sketch_seed42_history.csv,outputs\source_plots\cnn3_cartoon-sketch_seed42.png
cnn3_cartoon-sketch_seed387,cnn3,cartoon|sketch,2,387,94151,4390,628,0.7404458598726115,0.8775732638729605,100,100,98,0.8129840546697039,0.7404458598726115,13800,0.001,32,outputs\source_models\cnn3_cartoon-sketch_seed387.pth,outputs\source_histories\cnn3_cartoon-sketch_seed387_history.csv,outputs\source_plots\cnn3_cartoon-sketch_seed387.png
cnn3_photo-sketch_seed42,cnn3,photo|sketch,2,42,94151,3919,560,0.7232142857142857,0.9512545943260192,100,100,85,0.7966317938249553,0.7232142857142857,12300,0.001,32,outputs\source_models\cnn3_photo-sketch_seed42.pth,outputs\source_histories\cnn3_photo-sketch_seed42_history.csv,outputs\source_plots\cnn3_photo-sketch_seed42.png
cnn3_photo-sketch_seed387,cnn3,photo|sketch,2,387,94151,3919,560,0.7178571428571429,0.9364960057394844,100,100,85,0.7884664455218168,0.7178571428571429,12300,0.001,32,outputs\source_models\cnn3_photo-sketch_seed387.pth,outputs\source_histories\cnn3_photo-sketch_seed387_history.csv,outputs\source_plots\cnn3_photo-sketch_seed387.png
resnet18_art_painting_seed42,resnet18,art_painting,1,42,11180103,1433,205,0.6487804878048781,2.384508328321504,100,100,89,0.9783670621074668,0.6487804878048781,4500,0.001,32,outputs\source_models\resnet18_art_painting_seed42.pth,outputs\source_histories\resnet18_art_painting_seed42_history.csv,outputs\source_plots\resnet18_art_painting_seed42.png
resnet18_art_painting_seed387,resnet18,art_painting,1,387,11180103,1433,205,0.6439024390243903,2.4007554030999905,100,100,95,0.983251919050942,0.6439024390243903,4500,0.001,32,outputs\source_models\resnet18_art_painting_seed387.pth,outputs\source_histories\resnet18_art_painting_seed387_history.csv,outputs\source_plots\resnet18_art_painting_seed387.png
resnet18_cartoon_seed42,resnet18,cartoon,1,42,11180103,1640,235,0.8553191489361702,0.70727555320618,100,100,95,0.9878048780487804,0.8553191489361702,5200,0.001,32,outputs\source_models\resnet18_cartoon_seed42.pth,outputs\source_histories\resnet18_cartoon_seed42_history.csv,outputs\source_plots\resnet18_cartoon_seed42.png
resnet18_cartoon_seed387,resnet18,cartoon,1,387,11180103,1640,235,0.8680851063829788,0.6888579048374865,100,100,92,0.9902439024390244,0.8680851063829788,5200,0.001,32,outputs\source_models\resnet18_cartoon_seed387.pth,outputs\source_histories\resnet18_cartoon_seed387_history.csv,outputs\source_plots\resnet18_cartoon_seed387.png
resnet18_photo_seed42,resnet18,photo,1,42,11180103,1169,167,0.8023952095808383,1.089183721713677,100,100,87,0.9923011120615912,0.8023952095808383,3700,0.001,32,outputs\source_models\resnet18_photo_seed42.pth,outputs\source_histories\resnet18_photo_seed42_history.csv,outputs\source_plots\resnet18_photo_seed42.png
resnet18_photo_seed387,resnet18,photo,1,387,11180103,1169,167,0.8143712574850299,0.750574722975314,100,100,60,0.9803250641573996,0.8143712574850299,3700,0.001,32,outputs\source_models\resnet18_photo_seed387.pth,outputs\source_histories\resnet18_photo_seed387_history.csv,outputs\source_plots\resnet18_photo_seed387.png
resnet18_sketch_seed42,resnet18,sketch,1,42,11180103,2750,393,0.8854961832061069,0.4752892804813142,100,100,54,0.9770909090909092,0.8854961832061069,8600,0.001,32,outputs\source_models\resnet18_sketch_seed42.pth,outputs\source_histories\resnet18_sketch_seed42_history.csv,outputs\source_plots\resnet18_sketch_seed42.png
resnet18_sketch_seed387,resnet18,sketch,1,387,11180103,2750,393,0.9033078880407124,0.3777517872002288,100,100,77,0.9898181818181818,0.9033078880407124,8600,0.001,32,outputs\source_models\resnet18_sketch_seed387.pth,outputs\source_histories\resnet18_sketch_seed387_history.csv,outputs\source_plots\resnet18_sketch_seed387.png
